name,landmass,zone,area,population,language,religion,URL
Liberia,Africa,NW,111,1,Others,Ethnic,http://www.sciencekids.co.nz/images/pictures/flags680/Liberia.jpg
Libya,Africa,NE,1760,3,Arabic,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Libya.jpg
Liechtenstein,Europe,NE,0,0,German,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Liechtenstein.jpg
Luxembourg,Europe,NE,3,0,German,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Luxembourg.jpg
Malagasy,Africa,SE,587,9,Others,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Madagascar.svg/255px-Flag_of_Madagascar.svg.png
Malawi,Africa,SE,118,6,Others,Ethnic,http://www.sciencekids.co.nz/images/pictures/flags680/Malawi.jpg
Malaysia,Asia,NE,333,13,Others,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Malaysia.jpg
Maldive-Islands,Asia,NE,0,0,Others,Muslim,https://www.worldatlas.com/webimage/flags/countrys/zzzflags/mvlarge.gif
Mali,Africa,NW,1240,7,French,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Mali.jpg
Malta,Europe,NE,0,0,Others,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Malta.jpg
Marianas,Oceania,NE,0,0,Others,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_the_Northern_Mariana_Islands.svg/2000px-Flag_of_the_Northern_Mariana_Islands.svg.png
Mauritania,Africa,NW,1031,2,Arabic,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Mauritania.jpg
Mauritius,Africa,SE,2,1,English,Hindu,http://www.sciencekids.co.nz/images/pictures/flags680/Mauritius.jpg
Mexico,N.America,NW,1973,77,Spanish,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Mexico.jpg
Micronesia,Oceania,NE,1,0,Others,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg/2000px-Flag_of_the_Federated_States_of_Micronesia.svg.png
Monaco,Europe,NE,0,0,French,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Monaco.jpg
Mongolia,Asia,NE,1566,2,Others,Marxist,http://www.sciencekids.co.nz/images/pictures/flags680/Mongolia.jpg
Montserrat,N.America,NW,0,0,English,Other Christian,https://www.worldatlas.com/r/w480/img/flag/ms-flag.jpg
Morocco,Africa,NW,447,20,Arabic,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Morocco.jpg
Mozambique,Africa,SE,783,12,Others,Ethnic,http://www.sciencekids.co.nz/images/pictures/flags680/Mozambique.jpg
Nauru,Oceania,SE,0,0,Others,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Nauru.jpg
Nepal,Asia,NE,140,16,Others,Hindu,http://www.sciencekids.co.nz/images/pictures/flags680/Nepal.jpg
Netherlands,Europe,NE,41,14,Other Indo-European,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Netherlands.jpg
Netherlands-Antilles,N.America,NW,0,0,Other Indo-European,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Flag_of_the_Netherlands_Antilles_%281959%E2%80%931986%29.svg/1200px-Flag_of_the_Netherlands_Antilles_%281959%E2%80%931986%29.svg.png
New-Zealand,Oceania,SE,268,2,English,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/2000px-Flag_of_New_Zealand.svg.png
Nicaragua,N.America,NW,128,3,Spanish,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Nicaragua.jpg
Niger,Africa,NE,1267,5,French,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Niger.jpg
Nigeria,Africa,NE,925,56,Others,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Nigeria.jpg
Niue,Oceania,SW,0,0,English,Other Christian,https://www.worldatlas.com/webimage/flags/countrys/zzzflags/nularge.gif
North-Korea,Asia,NE,121,18,Others,Marxist,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_the_Republic_of_North_Korea_%28Proposal%29.png
North-Yemen,Asia,NE,195,9,Arabic,Muslim,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_North_Yemen.svg/1200px-Flag_of_North_Yemen.svg.png
Norway,Europe,NE,324,4,Other Indo-European,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Norway.jpg
Oman,Asia,NE,212,1,Arabic,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Oman.jpg
Pakistan,Asia,NE,804,84,Other Indo-European,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Pakistan.jpg
Panama,S.America,NW,76,2,Spanish,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Panama.jpg
Papua-New-Guinea,Oceania,SE,463,3,English,Ethnic,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Flag_of_Papua_New_Guinea.svg/2000px-Flag_of_Papua_New_Guinea.svg.png
Parguay,S.America,SW,407,3,Spanish,Catholic,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Paraguay.svg/255px-Flag_of_Paraguay.svg.png
Peru,S.America,SW,1285,14,Spanish,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Peru.jpg
Philippines,Oceania,NE,300,48,Others,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Philippines.jpg
Poland,Europe,NE,313,36,Slavic,Marxist,http://www.sciencekids.co.nz/images/pictures/flags680/Poland.jpg
Portugal,Europe,NW,92,10,Other Indo-European,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Portugal.jpg
Puerto-Rico,N.America,NW,9,3,Spanish,Catholic,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_Puerto_Rico.svg/255px-Flag_of_Puerto_Rico.svg.png
Qatar,Asia,NE,11,0,Arabic,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Qatar.jpg
Romania,Europe,NE,237,22,Other Indo-European,Marxist,http://www.sciencekids.co.nz/images/pictures/flags680/Romania.jpg
Rwanda,Africa,SE,26,5,Others,Ethnic,http://www.sciencekids.co.nz/images/pictures/flags680/Rwanda.jpg
San-Marino,Europe,NE,0,0,Other Indo-European,Catholic,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_San_Marino.svg/227px-Flag_of_San_Marino.svg.png
Sao-Tome,Africa,NE,0,0,Other Indo-European,Catholic,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Saudi-Arabia,Asia,NE,2150,9,Arabic,Muslim,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/2000px-Flag_of_Saudi_Arabia.svg.png
Senegal,Africa,NW,196,6,French,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Senegal.jpg
Seychelles,Africa,SE,0,0,English,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Seychelles.jpg
Sierra-Leone,Africa,NW,72,3,English,Ethnic,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_Sierra_Leone.svg/1280px-Flag_of_Sierra_Leone.svg.png
Singapore,Asia,NE,1,3,Chinese,Buddhist,http://www.sciencekids.co.nz/images/pictures/flags680/Singapore.jpg
Soloman-Islands,Oceania,SE,30,0,English,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_Solomon_Islands.svg/1280px-Flag_of_the_Solomon_Islands.svg.png
Somalia,Africa,NE,637,5,Others,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Somalia.jpg
South-Africa,Africa,SE,1221,29,Other Indo-European,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/2000px-Flag_of_South_Africa.svg.png
South-Korea,Asia,NE,99,39,Others,Others,https://upload.wikimedia.org/wikipedia/commons/7/76/Flag_of_South_Korea_%281997%E2%80%932011%29.svg
South-Yemen,Asia,NE,288,2,Arabic,Muslim,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Flag_of_South_Yemen.svg/2000px-Flag_of_South_Yemen.svg.png
Spain,Europe,NW,505,38,Spanish,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Spain.jpg
Sri-Lanka,Asia,NE,66,15,Others,Buddhist,https://www.theflagshop.co.uk/media/catalog/product/cache/1/thumbnail/9df78eab33525d08d6e5fb8d27136e95/s/r/sri-lanka-flag-211-p_1.png
St-Helena,Africa,SW,0,0,English,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Saint_Helena.svg/255px-Flag_of_Saint_Helena.svg.png
St-Kitts-Nevis,N.America,NW,0,0,English,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg/1280px-Flag_of_Saint_Kitts_and_Nevis.svg.png
St-Lucia,N.America,NW,0,0,English,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Saint_Lucia.svg/1280px-Flag_of_Saint_Lucia.svg.png
St-Vincent,N.America,NW,0,0,English,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg/1200px-Flag_of_Saint_Vincent_and_the_Grenadines.svg.png
Sudan,Africa,NE,2506,20,Arabic,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Sudan.jpg
Surinam,S.America,NW,63,0,Other Indo-European,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Flag_of_Suriname.svg/255px-Flag_of_Suriname.svg.png
Swaziland,Africa,SE,17,1,Others,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Swaziland.jpg
Sweden,Europe,NE,450,8,Other Indo-European,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Sweden.jpg
Switzerland,Europe,NE,41,6,German,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Switzerland.jpg
Syria,Asia,NE,185,10,Arabic,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Syria.jpg
Taiwan,Asia,NE,36,18,Chinese,Buddhist,http://www.sciencekids.co.nz/images/pictures/flags680/Taiwan.jpg
Tanzania,Africa,SE,945,18,Others,Ethnic,http://www.sciencekids.co.nz/images/pictures/flags680/Tanzania.jpg
Thailand,Asia,NE,514,49,Others,Buddhist,http://www.sciencekids.co.nz/images/pictures/flags680/Thailand.jpg
Togo,Africa,NE,57,2,French,Others,http://www.sciencekids.co.nz/images/pictures/flags680/Togo.jpg
Tonga,Oceania,SE,1,0,Others,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Tonga.jpg
Trinidad-Tobago,S.America,NW,5,1,English,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Trinidad_and_Tobago.svg/2000px-Flag_of_Trinidad_and_Tobago.svg.png
Tunisia,Africa,NE,164,7,Arabic,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Tunisia.jpg
Turkey,Asia,NE,781,45,Japanese/Turkish/Finnish/Magyar,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Turkey.jpg
Turks-Cocos-Islands,N.America,NW,0,0,English,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_the_Turks_and_Caicos_Islands.svg/1200px-Flag_of_the_Turks_and_Caicos_Islands.svg.png
Tuvalu,Oceania,SE,0,0,English,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Tuvalu.jpg
UAE,Asia,NE,84,1,Arabic,Muslim,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_United_Arab_Emirates.svg/255px-Flag_of_the_United_Arab_Emirates.svg.png
Uganda,Africa,NE,236,13,Others,Ethnic,http://www.sciencekids.co.nz/images/pictures/flags680/Uganda.jpg
UK,Europe,NW,245,56,English,Other Christian,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/1280px-Flag_of_the_United_Kingdom.svg.png
Uruguay,S.America,SW,178,3,Spanish,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Uruguay.jpg
US-Virgin-Isles,N.America,NW,0,0,English,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_the_United_States_Virgin_Islands.svg/220px-Flag_of_the_United_States_Virgin_Islands.svg.png
USA,N.America,NW,9363,231,English,Other Christian,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1280px-Flag_of_the_United_States.svg.png
USSR,Asia,NE,22402,274,Slavic,Marxist,https://vignette.wikia.nocookie.net/jamesbond/images/6/6d/Flag-Big-USSR.jpg/revision/latest?cb=20121218175429
Vanuatu,Oceania,SE,15,0,Other Indo-European,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Vanuatu.jpg
Vatican-City,Europe,NE,0,0,Other Indo-European,Catholic,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_the_Vatican_City.svg/170px-Flag_of_the_Vatican_City.svg.png
Venezuela,S.America,NW,912,15,Spanish,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Venezuela.jpg
Vietnam,Asia,NE,333,60,Others,Marxist,http://www.sciencekids.co.nz/images/pictures/flags680/Vietnam.jpg
Western-Samoa,Oceania,SW,3,0,English,Other Christian,http://www.flagz.co.nz/wp-content/uploads/2013/08/samoa-flag.png
Yugoslavia,Europe,NE,256,22,Other Indo-European,Marxist,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_SFR_Yugoslavia.svg/255px-Flag_of_SFR_Yugoslavia.svg.png
Zaire,Africa,SE,905,28,Others,Ethnic,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Zaire.svg/1200px-Flag_of_Zaire.svg.png
Zambia,Africa,SE,753,6,Others,Ethnic,http://www.sciencekids.co.nz/images/pictures/flags680/Zambia.jpg
Zimbabwe,Africa,SE,391,8,Others,Ethnic,http://www.sciencekids.co.nz/images/pictures/flags680/Zimbabwe.jpg
